key,en,my
"Try ""Jane"" or ""Medicare"" to explore the directory.","Try ""Jane"" or ""Medicare"" to explore the directory.","လမ်းညွှန်စာရင်းကို ရှာဖွေရန် ""Jane"" သို့မဟုတ် ""Medicare"" ကို စမ်းကြည့်ပါ။"
Quick Filters,Quick Filters, ရွေးချယ်ချက်များ
Jump into commonly referenced patient segments.,Jump into commonly referenced patient segments.,အများဆုံး ကိုးကားသော လူနာအဖွဲ့အစည်းများသို့ ချက်ချင်း ဝင်ရောက်ပါ။
Need to add someone?,Need to add someone?,တစ်ယောက် ထပ်ထည့်လိုပါသလား။
Can't find the patient you're looking for? Create a new record in just a few steps.,Can't find the patient you're looking for? Create a new record in just a few steps.,ရှာဖွေနေသော လူနာကို မတွေ့ဘူးလား။ အဆင့်အနည်းငယ်သာဖြင့် မှတ်တမ်းအသစ်တစ်ခု ဖန်တီးနိုင်ပါသည်။
IT Administrator Dashboard,IT Administrator Dashboard,IT အုပ်ချုပ်ရေးမှူး ဒက်ရှ်ဘုတ်
Monitor user accounts, system access, and staff setup.,Monitor user accounts, system access, and staff setup.,အသုံးပြုသူအကောင့်များ၊ စနစ်ဝင်ရောက်ခွင့်နှင့် ဝန်ထမ်း စနစ်သတ်မှတ်ခြင်းကို စောင့်ကြည့်ပါ။
Staff Accounts,Staff Accounts,ဝန်ထမ်းအကောင့်များ
Active Accounts,Active Accounts,လှုပ်ရှားနေသော အကောင့်များ
Inactive Accounts,Inactive Accounts,ပိတ်ထားသော အကောင့်များ
Doctor Accounts,Doctor Accounts,ဆရာဝန်အကောင့်များ
Unassigned Doctors: {count},Unassigned Doctors: {count},ဆရာဝန် မချိတ်ဆက်ရသေးသူများ {count} ယောက်
No data available.,No data available.,ဒေတာ မရှိပါ။
Unable to load user accounts.,Unable to load user accounts.,အသုံးပြုသူအကောင့်များကို တင်မရပါ။
Loading user accounts...,Loading user accounts...,အသုံးပြုသူအကောင့်များကို တင်နေပါသည်...
Latest User Accounts,Latest User Accounts,အသုံးပြုသူအကောင့် အသစ်များ
No user accounts available.,No user accounts available.,အသုံးပြုသူအကောင့်များ မရှိသေးပါ။
Created,Created,ဖန်တီးခဲ့သော
Doctor Assignment,Doctor Assignment,ဆရာဝန် သတ်မှတ်ချက်
Not assigned,Not assigned,မသတ်မှတ်ရသေးပါ
Active,Active,လုပ်ဆောင်နေသည်
Inactive,Inactive,ပိတ်ထားသည်
Doctor Coverage,Doctor Coverage,ဆရာဝန် ဝင်ရောက်မှု အခြေအနေ
Loading doctor data...,Loading doctor data...,ဆရာဝန် ဒေတာများကို တင်နေပါသည်...
Unable to load doctor data.,Unable to load doctor data.,ဆရာဝန် ဒေတာကို တင်မရပါ။
All doctors have user accounts.,All doctors have user accounts.,ဆရာဝန်အားလုံးတွင် အသုံးပြုသူအကောင့်များ ရှိပြီးဖြစ်သည်။
Appointments Today,Appointments Today,Appointments Today
Checked-in Patients,Checked-in Patients,Checked-in Patients
{upcoming} upcoming · {completed} completed,{upcoming} upcoming · {completed} completed,{upcoming} upcoming · {completed} completed
No appointments scheduled today.,No appointments scheduled today.,No appointments scheduled today.
Unable to load schedule.,Unable to load schedule.,Unable to load schedule.
Loading appointments...,Loading appointments...,Loading appointments...
No upcoming appointments.,No upcoming appointments.,No upcoming appointments.
Check in {count} scheduled patients.,Check in {count} scheduled patients.,Check in {count} scheduled patients.
Prepare rooms for {count} checked-in patients.,Prepare rooms for {count} checked-in patients.,Prepare rooms for {count} checked-in patients.
Follow up on {count} appointments past their start time.,Follow up on {count} appointments past their start time.,Follow up on {count} appointments past their start time.
{count} patients ready for their visit.,{count} patients ready for their visit.,{count} patients ready for their visit.
{count} patients waiting to check in.,{count} patients waiting to check in.,{count} patients waiting to check in.
No patients have checked in yet.,No patients have checked in yet.,No patients have checked in yet.
No pending tasks for today.,No pending tasks for today.,No pending tasks for today.
Drug allergies,Drug allergies,ဆေးအလွန်မတုံ့ပြန်မှုများ
No known allergies,No known allergies,မသိရှိရသေးသော အလွန်မတုံ့ပြန်မှုများ
Document medications to avoid during care.,Document medications to avoid during care.,ကုသမှုတွင် မသုံးသင့်သော ဆေးဝါးများကို မှတ်တမ်းတင်ပါ။
e.g. Penicillin, Ibuprofen,e.g. Penicillin, Ibuprofen,ဥပမာ- ပီနစ်ဆီလင်း၊ အိုင်ဘူပရိုဖင်
Patient Portal Access,Patient Portal Access,လူနာ Portal ဝင်ရောက်ခွင့်
Link this patient's record to their portal login.,Link this patient's record to their portal login.,လူနာ၏ မှတ်တမ်းကို portal ဝင်ရောက်မှုနှင့် ဆက်သွယ်ပါ။
Manage how this patient signs in to their portal experience.,Manage how this patient signs in to their portal experience.,ဤလူနာသည် portal တွင် မည်သို့ ဝင်ရောက်မည်ကို စီမံခန့်ခွဲပါ။
Unable to load patient portal account.,Unable to load patient portal account.,လူနာ portal အကောင့်ကို ဖွင့်ယူမရပါ။
Checking for an existing portal account...,Checking for an existing portal account...,ရှိပြီးသား portal အကောင့်ရှိမရှိ စစ်ဆေးနေပါသည်...
Portal email address,Portal email address,Portal အီးမေးလ် လိပ်စာ
Temporary password (optional),Temporary password (optional),ယာယီ စကားဝှက် (ရွေးချယ်စရာ)
Leave blank to keep the current password.,Leave blank to keep the current password.,လက်ရှိစကားဝှက်ကို ဆက်လက်အသုံးပြုရန် လပ်ထားပါ။
Last sign-in: {value},Last sign-in: {value},နောက်ဆုံး ဝင်ရောက်မှု: {value}
Saving...,Saving...,သိမ်းဆည်းနေသည်...
Temporary password,Temporary password,ယာယီ စကားဝှက်
Share this password with the patient and ask them to update it after signing in.,Share this password with the patient and ask them to update it after signing in.,ဤစကားဝှက်ကို လူနာနှင့် မျှဝေပြီး ဝင်ရောက်ပြီးနောက် ပြန်လည်ပြင်ဆင်ရန် သတင်းပို့ပါ။
Create portal account,Create portal account,Portal အကောင့် ဖန်တီးပါ
Portal account created successfully.,Portal account created successfully.,Portal အကောင့်ကို အောင်မြင်စွာ ဖန်တီးပြီးပါပြီ။
Enter a valid email and a password with at least 8 characters.,Enter a valid email and a password with at least 8 characters.,မှန်ကန်သော အီးမေးလ်နှင့် အနည်းဆုံး အက္ခရာ ၈ လုံးပါဝင်သည့် စကားဝှက်ကို ထည့်ပါ။
Unable to create patient portal account.,Unable to create patient portal account.,လူနာ portal အကောင့်ကို ဖန်တီး၍မရပါ။
Portal account updated.,Portal account updated.,Portal အကောင့်ကို ပြင်ဆင်ပြီးပါပြီ။
Temporary passwords must be at least 8 characters long.,Temporary passwords must be at least 8 characters long.,ယာယီစကားဝှက်သည် အနည်းဆုံး အက္ခရာ ၈ လုံးရှိရပါမည်။
Unable to update patient portal account.,Unable to update patient portal account.,လူနာ portal အကောင့်ကို ပြင်ဆင်၍မရပါ။
Update portal account,Update portal account,Portal အကောင့်ကို ပြင်ဆင်ပါ
No changes to update.,No changes to update.,ပြင်ဆင်စရာအကြောင်းအရာ မရှိပါ။
Never,Never,မရှိသေးပါ။
Patient profile,Patient profile,လူနာပရိုဖိုင်
Profile,Profile,ပရိုဖိုင်
Review demographic information, care milestones, and upcoming activity in one place.,Review demographic information, care milestones, and upcoming activity in one place.,လူနာ၏ လူမျိုးရေးအချက်အလက်များ၊ ပြုစုမှတ်တမ်းများနှင့် လာမည့်လုပ်ဆောင်မှုများကို တစ်နေရာတည်းတွင် ပြန်လည်ကြည့်ရှုပါ။
Unable to load specialists,Unable to load specialists,ဘာသာရပ်ကျွမ်းကျင်များကို ဖတ်၍ မရပါ
Unable to load patient data,Unable to load patient data,လူနာဒေတာကို မရနိုင်ပါ
Sign-in failed,Sign-in failed,ဝင်ရောက်မှု မအောင်မြင်ပါ
Portal data unavailable,Portal data unavailable,ပေါ်တယ် ဒေတာ မရနိုင်ပါ
Appointment request failed,Appointment request failed,ချိန်းစာရင်း တောင်းဆိုမှု မအောင်မြင်ပါ
Dismiss,Dismiss,ပယ်ဖျက်ပါ
Appointment reminder,Appointment reminder,Appointment reminder
You have an appointment today with {name}.,You have an appointment today with {name}.,You have an appointment today with {name}.
Please arrive by {time} at {location}.,Please arrive by {time} at {location}.,Please arrive by {time} at {location}.
Dismiss reminder,Dismiss reminder,Dismiss reminder
your care team,your care team,your care team
the clinic,the clinic,the clinic
Department pending,Department pending,ဌာန မသတ်မှတ်ရသေးပါ
None reported,None reported,တင်သွင်းထားသော မှတ်တမ်းမရှိပါ
{count} years old,{count} years old,အသက် {count} နှစ်
Next appointment,Next appointment,နောက်လာမည့်ချိန်းစာရင်း
Most recent visit,Most recent visit,နောက်ဆုံးအကြိမ် သွားရောက်မှု
Unable to schedule appointment.,Unable to schedule appointment.,ချိန်းစာရင်းကို စီစဉ်၍ မရနိုင်ပါ။
Unable to sign in. Please try again.,Unable to sign in. Please try again.,ဝင်ရောက်၍ မရနိုင်ပါ။ ထပ်မံကြိုးစားပါ။
Please log in with the correct patient account.,Please log in with the correct patient account.,မှန်ကန်သော လူနာအကောင့်ဖြင့် ဝင်ရောက်ပါ။
Patient ID,Patient ID,လူနာ ID
ID: {id},ID: {id},ID: {id}
Please log in with the account linked to this patient ID.,Please log in with the account linked to this patient ID.,ဤလူနာ ID နှင့် ချိတ်ဆက်ထားသော အကောင့်ဖြင့် ဝင်ရောက်ပါ။
"Tap markers to preview entrances.","Tap markers to preview entrances.","ဝင်ပေါက်များကို ကြည့်ရှုရန် မားကာများကို နှိပ်ပါ။"
"Clinic campus map","Clinic campus map","ဆေးခန်းဧရိယာ မြေပုံ"
"Preview our campus layout and entry points for your visit.","Preview our campus layout and entry points for your visit.","ဆေးခန်းဧရိယာ အပြင်အဆင်နှင့် ဝင်ပေါက်များကို ကြိုတင်ကြည့်ရှုပါ။"
"Building 4 - Outpatient pavilion","Building 4 - Outpatient pavilion","အဆောက်အဦ ၄ - လူနာအပြင်ဌာန"
"Check-in, family medicine, and pharmacy pickup","Check-in, family medicine, and pharmacy pickup","Check-in၊ မိသားစုဆေးဝါးနှင့် ဆေးဆိုင်ထုတ်ယူမှု"
"Building 5 - Diagnostics hub","Building 5 - Diagnostics hub","အဆောက်အဦ ၅ - ရောဂါဖော်ထုတ်ဌာန"
"Radiology, lab services, and imaging check-in","Radiology, lab services, and imaging check-in","ရူပါရုံ၊ ဓာတ်ခွဲခန်းဝန်ဆောင်မှုများနှင့် ရုပ်ပုံရိုက်ကူး ဝင်ပေါက်"
Prescriptions,Prescriptions,Prescriptions
No prescriptions have been issued yet.,No prescriptions have been issued yet.,No prescriptions have been issued yet.
Rx #{id},Rx #{id},Rx #{id}
Status: {status},Status: {status},Status: {status}
Prescribed {date},Prescribed {date},Prescribed {date}
Ordered by {name},Ordered by {name},Ordered by {name}
Dispensed {date},Dispensed {date},Dispensed {date}
Not yet dispensed,Not yet dispensed,Not yet dispensed
Fulfilment status: {status},Fulfilment status: {status},Fulfilment status: {status}
Items ordered,Items ordered,Items ordered
Prescription item,Prescription item,Prescription item
Medication order,Medication order,Medication order
Duration: {days} days,Duration: {days} days,Duration: {days} days
Quantity prescribed: {quantity},Quantity prescribed: {quantity},Quantity prescribed: {quantity}
As needed,As needed,As needed
Partially dispensed,Partially dispensed,Partially dispensed
Dispensed,Dispensed,Dispensed
Pending,Pending,Pending
Ready,Ready,Ready
Partial,Partial,Partial
Linked visit {date},Linked visit {date},Linked visit {date}
Prescription ready to share,Prescription ready to share,Prescription ready to share
Instructions ready to share,Instructions ready to share,Instructions ready to share
Order details copied. Share with the hospital or client to arrange medication.,Order details copied. Share with the hospital or client to arrange medication.,Order details copied. Share with the hospital or client to arrange medication.
Unable to copy prescription,Unable to copy prescription,Unable to copy prescription
Unable to copy instructions,Unable to copy instructions,Unable to copy instructions
Please copy the details manually from the prescription view.,Please copy the details manually from the prescription view.,Please copy the details manually from the prescription view.
Please copy the details manually from the medication view.,Please copy the details manually from the medication view.,Please copy the details manually from the medication view.
Order medication,Order medication,Order medication
Request pharmacy order,Request pharmacy order,ဆေးဆိုင်မှာကြားချက်တောင်းဆိုပါ
View details,View details,View details
Hide details,Hide details,Hide details
Select a prescription to review details and share with our pharmacy.,Select a prescription to review details and share with our pharmacy.,Select a prescription to review details and share with our pharmacy.
Past Medications (Visit History),Past Medications (Visit History),အတိတ်က ဆေးဝါးများ (လည်ပတ်မှတ်တမ်း)
Medications from previous visits. For active prescriptions, see above.,Medications from previous visits. For active prescriptions, see above.,ယခင် လည်ပတ်မှုများမှ ဆေးဝါးများ။ လက်ရှိ ဆေးညွှန်းများအတွက် အပေါ်တွင်ကြည့်ပါ။
No past medications recorded.,No past medications recorded.,အတိတ်က ဆေးဝါးမှတ်တမ်း မရှိပါ။
Visit date: {date},Visit date: {date},Visit date: {date}
Review prescriptions, immunisations, and pharmacy orders.,Review prescriptions, immunisations, and pharmacy orders.,Review prescriptions, immunisations, and pharmacy orders.
No active prescriptions recorded.,No active prescriptions recorded.,No active prescriptions recorded.
Track pharmacy approvals, shipping updates, and delivery milestones.,Track pharmacy approvals, shipping updates, and delivery milestones.,ဆေးဆိုင် အတည်ပြုချက်များ၊ ပို့ဆောင်ရေး အခြေအနေများနှင့် ပို့ပေးပြီးမြောက်မှုများကို ချိန်ညှိစောင့်ကြည့်ပါ။
Pending approval,Pending approval,အတည်ပြုချက်စောင့်နေသည်
Approved,Approved,အတည်ပြုခဲ့သည်
Shipping,Shipping,ပို့ဆောင်နေသည်
On the way,On the way,လမ်းတွင်ရှိသည်
Shipped,Shipped,ပို့ဆောင်ပြီးပြီ
Delivered,Delivered,ပို့ပေးပြီးပါပြီ
No medication orders submitted yet.,No medication orders submitted yet.,ဆေးဝါးမှာကြားချက်များကို မတင်သေးပါ။
Status: {status},Status: {status},အခြေအနေ- {status}
Requested {date},Requested {date},တင်သွင်းထားသည် {date}
Approved {date},Approved {date},အတည်ပြုခဲ့သည် {date}
Notes: {notes},Notes: {notes},မှတ်ချက်များ- {notes}
Updated {date},Updated {date},အသစ်ပြင်ဆင်ခဲ့သည် {date}
Quantity: {quantity},Quantity: {quantity},ပမာဏ- {quantity}
Doctor: {name},Doctor: {name},ဆရာဝန်- {name}
Handled by {email},Handled by {email},ဆောင်ရွက်သူ- {email}
Dosage: {dosage},Dosage: {dosage},ဆေးသောက်အတိုင်းအတာ- {dosage}
Instructions: {instructions},Instructions: {instructions},ညွှန်ကြားချက်များ- {instructions}
Medication order submitted,Medication order submitted,ဆေးဝါးမှာကြားချက်ကို တင်ထားပြီးပါပြီ
Medication order failed,Medication order failed,ဆေးဝါးမှာကြားချက် မအောင်မြင်ပါ
Unable to place medication order.,Unable to place medication order.,ဆေးဝါးမှာကြားချက်ကို တင်မရပါ။
Medication order unavailable,Medication order unavailable,ဆေးမှာကြားချက် မရနိုင်ပါ
Medication name is required to submit an order.,Medication name is required to submit an order.,မှာကြားချက်တင်ရန် ဆေးအမည်လိုအပ်သည်။
Order details copied. Share with the hospital or client to arrange medication.,Order details copied. Share with the hospital or client to arrange medication.,မှာကြားချက်အသေးစိတ်ကို ကူးယူထားသည်။ ဆေးဝါးစီစဉ်ရန် ဆေးရုံ သို့မဟုတ် ငှားရမ်းသူနှင့် မျှဝေပါ။
Please sign in to submit a medication order.,Please sign in to submit a medication order.,ဆေးမှာကြားချက်တင်ရန် စာရင်းဝင်ပါ။
Our pharmacy team will review your prescription shortly.,Our pharmacy team will review your prescription shortly.,ဆေးဆိုင်အသင်းမှ သင့် ရေး prescription ကို မကြာမှီ ပြန်လည်စစ်ဆေးပေးမည်။
Your medication request has been sent to the pharmacy.,Your medication request has been sent to the pharmacy.,သင့်ဆေးမှာကြားချက်ကို ဆေးဆိုင်သို့ ပို့ပေးထားပါပြီ။
